N 11000 train 10265 val 400
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights:   0%|          | 1/310 [00:00<00:59,  5.20it/s]Loading weights:  17%|█▋        | 53/310 [00:00<00:01, 222.52it/s]Loading weights:  27%|██▋       | 84/310 [00:00<00:00, 247.27it/s]Loading weights:  37%|███▋      | 114/310 [00:00<00:00, 255.71it/s]Loading weights:  51%|█████     | 157/310 [00:00<00:00, 249.28it/s]Loading weights:  60%|██████    | 186/310 [00:00<00:00, 260.16it/s]Loading weights:  69%|██████▉   | 214/310 [00:00<00:00, 264.77it/s]Loading weights:  78%|███████▊  | 242/310 [00:01<00:00, 261.99it/s]Loading weights:  87%|████████▋ | 269/310 [00:01<00:00, 261.71it/s]Loading weights:  97%|█████████▋| 301/310 [00:01<00:00, 274.65it/s]Loading weights: 100%|██████████| 310/310 [00:01<00:00, 255.64it/s]
[transformers] [1mQwen3Model LOAD REPORT[0m from: Qwen/Qwen3-1.7B
Key            | Status     |  | 
---------------+------------+--+-
lm_head.weight | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: joshuadavid to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hgoecgxn
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/hex-rl-cot-deconfusion/wandb/run-20260812_071800-hgoecgxn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run armF_moves_r2
wandb: ⭐️ View project at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion
wandb: 🚀 View run at https://wandb.ai/joshuadavid/hex-rl-cot-deconfusion/runs/hgoecgxn
step 0 val R2 mean: col -28.5165 pca -34.4291 render -0.1724
step 25 loss 2.2442 col 2.743 pca 3.112 render 0.878 (0.59s/step)
step 50 loss 0.8836 col 0.776 pca 1.033 render 0.842 (0.59s/step)
step 75 loss 0.7644 col 0.676 pca 0.895 render 0.722 (0.59s/step)
step 100 loss 0.7463 col 0.680 pca 0.876 render 0.683 (0.59s/step)
step 125 loss 0.7950 col 0.683 pca 0.939 render 0.762 (0.59s/step)
step 150 loss 0.7415 col 0.644 pca 0.887 render 0.693 (0.59s/step)
step 175 loss 0.7432 col 0.674 pca 0.902 render 0.653 (0.59s/step)
step 200 loss 0.7392 col 0.652 pca 0.910 render 0.656 (0.59s/step)
step 225 loss 0.7426 col 0.627 pca 0.902 render 0.699 (0.58s/step)
step 250 loss 0.6574 col 0.586 pca 0.812 render 0.574 (0.59s/step)
step 250 val R2 mean: col 0.3639 pca -0.0039 render 0.3875
step 275 loss 0.7240 col 0.636 pca 0.913 render 0.622 (0.62s/step)
step 300 loss 0.6948 col 0.615 pca 0.858 render 0.611 (0.62s/step)
step 325 loss 0.6990 col 0.605 pca 0.891 render 0.601 (0.61s/step)
step 350 loss 0.7248 col 0.621 pca 0.902 render 0.652 (0.62s/step)
step 375 loss 0.7291 col 0.654 pca 0.900 render 0.633 (0.64s/step)
step 400 loss 0.6619 col 0.579 pca 0.830 render 0.577 (0.64s/step)
step 425 loss 0.6718 col 0.574 pca 0.812 render 0.629 (0.64s/step)
step 450 loss 0.6967 col 0.609 pca 0.858 render 0.624 (0.64s/step)
step 475 loss 0.6899 col 0.597 pca 0.853 render 0.619 (0.63s/step)
step 500 loss 0.6878 col 0.660 pca 0.842 render 0.561 (0.63s/step)
step 500 val R2 mean: col 0.4068 pca 0.0404 render 0.4414
step 525 loss 0.7096 col 0.611 pca 0.848 render 0.669 (0.65s/step)
step 550 loss 0.6271 col 0.541 pca 0.786 render 0.554 (0.64s/step)
step 575 loss 0.6675 col 0.580 pca 0.833 render 0.589 (0.64s/step)
step 600 loss 0.7288 col 0.633 pca 0.901 render 0.653 (0.64s/step)
step 625 loss 0.6432 col 0.555 pca 0.809 render 0.566 (0.64s/step)
step 650 loss 0.6009 col 0.515 pca 0.727 render 0.560 (0.64s/step)
step 675 loss 0.6028 col 0.507 pca 0.732 render 0.569 (0.63s/step)
step 700 loss 0.6251 col 0.534 pca 0.834 render 0.507 (0.63s/step)
step 725 loss 0.5989 col 0.542 pca 0.757 render 0.499 (0.63s/step)
step 750 loss 0.6618 col 0.576 pca 0.829 render 0.581 (0.63s/step)
step 750 val R2 mean: col 0.4421 pca 0.0710 render 0.4659
step 775 loss 0.6687 col 0.580 pca 0.826 render 0.600 (0.64s/step)
step 800 loss 0.6398 col 0.538 pca 0.809 render 0.572 (0.64s/step)
step 825 loss 0.6626 col 0.593 pca 0.840 render 0.554 (0.64s/step)
step 850 loss 0.6433 col 0.551 pca 0.830 render 0.549 (0.64s/step)
step 875 loss 0.6341 col 0.558 pca 0.819 render 0.525 (0.64s/step)
step 900 loss 0.6030 col 0.510 pca 0.785 render 0.513 (0.64s/step)
step 925 loss 0.5924 col 0.514 pca 0.753 render 0.511 (0.64s/step)
step 950 loss 0.6100 col 0.552 pca 0.758 render 0.521 (0.63s/step)
step 975 loss 0.6279 col 0.540 pca 0.781 render 0.563 (0.63s/step)
step 1000 loss 0.6590 col 0.577 pca 0.843 render 0.557 (0.63s/step)
step 1000 val R2 mean: col 0.4632 pca 0.1090 render 0.4858
step 1025 loss 0.5868 col 0.508 pca 0.738 render 0.514 (0.64s/step)
step 1050 loss 0.5955 col 0.498 pca 0.789 render 0.499 (0.64s/step)
step 1075 loss 0.6052 col 0.504 pca 0.762 render 0.550 (0.64s/step)
step 1100 loss 0.5851 col 0.495 pca 0.744 render 0.516 (0.64s/step)
step 1125 loss 0.5819 col 0.497 pca 0.725 render 0.524 (0.64s/step)
step 1150 loss 0.6041 col 0.542 pca 0.767 render 0.503 (0.63s/step)
step 1175 loss 0.6408 col 0.557 pca 0.804 render 0.561 (0.63s/step)
